,bluewins,bluetotalgold,redtotalgold
204,0,15120,19887
205,0,15339,17200
206,0,13438,20376
207,1,15582,17640
208,1,15441,16016
209,0,16002,14237
210,0,16009,15469
211,1,18106,17244
212,1,16501,13740
213,0,15505,16754
214,1,16195,16270
215,1,20236,14489
216,0,15475,16285
217,0,16243,15209
218,1,15065,17660
219,1,14359,14693
220,1,19377,15571
221,0,14135,16846
222,1,17448,14897
223,0,15958,15892
224,0,18287,16045
225,0,15534,16427
226,0,14935,16143
227,1,19331,15328
228,1,17131,16312
229,1,17983,13974
230,0,16842,17101
231,0,17569,15841
232,0,15882,15408
233,0,17049,15186
234,0,13556,17402
235,0,14692,17065
236,1,17000,16782
237,1,17200,14992
238,0,15409,16849
239,0,17283,18128
240,0,15477,18112
241,1,16763,13946
242,1,18434,15622
243,0,13731,17595
244,1,17251,16917
245,1,17051,15142
246,0,16346,16692
247,1,20236,15293
248,1,16434,15349
249,0,15834,18217
250,1,16968,16662
251,0,15949,17517
252,1,16056,17475
253,1,18392,16129
254,1,16415,15041
255,1,19948,15647
256,1,18189,14284
257,1,14398,17317
258,1,17359,14436
259,0,15817,16876
260,0,15861,16267
261,1,16355,15212
262,1,18333,17597
263,0,14562,19378
264,1,19677,15700
265,1,18793,15767
266,0,14276,18538
267,0,16808,14332
268,0,15002,18547
269,0,14354,18678
270,1,15926,16422
271,0,14742,16362
272,1,16481,17815
273,0,16307,17103
274,1,16569,15171
275,1,17322,14317
276,0,14711,17867
277,1,16009,16482
278,0,15102,18499
279,0,15499,17436
280,1,18456,14691
281,0,15767,15383
282,1,18890,16182
283,0,14901,17328
284,1,16785,14884
285,1,18786,16306
286,0,14727,18308
287,1,18009,15098
288,0,14526,15771
289,0,16627,16461
290,0,13428,19384
291,0,16105,18152
292,0,14782,16246
293,1,15889,15015
294,0,15158,15785
295,0,15073,15407
296,0,17125,16676
297,0,16377,17157
298,0,15888,16093
299,0,14414,16145
300,0,18329,17382
301,0,16245,16958
302,1,16120,14949
303,0,15548,16007
304,1,17432,14759
305,1,16922,17173
306,0,16142,15608
307,0,14630,18635
308,1,15131,15449
309,0,17697,15015
310,0,16116,14024
311,1,18485,16185
312,1,16980,14338
313,1,17066,14233
314,0,17202,17538
315,0,14702,19838
316,1,18692,16820
317,0,18549,19597
318,1,15859,15947
319,1,16044,17471
320,1,15941,18381
321,0,15675,17289
322,1,15682,16757
323,1,15843,17642
324,1,18248,14952
325,1,15333,17275
326,1,17496,15483
327,1,19809,16235
328,1,19329,13489
329,0,15600,18728
330,1,16292,15063
331,0,17677,16392
332,0,15141,18415
333,0,14897,16667
334,1,17520,15628
335,0,17164,16639
336,0,15999,16414
337,1,14542,16293
338,1,20225,15772
339,0,18203,16810
340,1,16787,16253
341,0,14959,18260
342,1,15132,17154
343,0,16354,16178
344,0,14652,15110
345,0,15331,14655
346,1,17002,14466
347,1,16308,18059
348,1,16282,17798
349,0,14110,16676
350,0,15426,17449
351,0,15983,16259
352,1,16801,15227
353,1,17141,14763
354,0,15122,18345
355,0,16878,16070
356,1,18274,14471
357,0,14176,17536
358,1,17549,15152
359,0,16049,16932
360,0,14017,16655
361,1,20139,15104
362,0,16659,17662
363,0,15975,17938
364,0,16728,17799
365,1,16693,15796
366,1,15925,13979
367,0,16763,16982
368,1,16852,15264
369,0,14950,16839
370,1,14863,15583
371,0,15853,18241
372,0,13428,19096
373,1,17570,17043
374,1,16561,15065
375,0,15070,19315
376,0,19190,15804
377,0,14269,17414
378,0,14916,16241
379,1,16256,17879
380,1,15231,14155
381,1,16070,17226
382,0,15416,14966
383,1,19036,14673
384,1,18214,15952
385,0,17430,17797
386,1,16590,15376
387,1,15508,13780
388,1,16789,15830
389,1,16298,15374
390,1,19320,14776
391,0,14926,19773
392,1,17496,15647
393,1,15177,19068
394,0,17025,18339
395,1,18203,15485
396,0,15160,17334
397,1,15304,14211
398,1,17503,17718
399,1,16468,15833
400,1,19035,18915
401,1,18413,18219
402,1,18470,14889
403,0,16291,19913
404,1,16301,16604
405,0,17183,18478
406,0,13428,16367
407,1,14807,13717
408,1,15195,14871
409,1,14788,16813
410,0,16604,17020
411,0,15661,15599
412,0,16259,16326
413,1,19716,14553
414,1,18612,15884
415,0,14711,18270
416,1,16886,16702
417,0,14980,17020
418,1,16544,14393
419,0,16174,18626
420,1,18047,14792
421,1,17484,16356
422,1,17826,15917
423,1,18673,15276
424,0,17540,20376
425,0,16808,17169
426,1,15227,15740
427,1,19392,14520
428,0,17194,16209
429,1,15672,17271
430,1,18565,16846
431,0,13921,16562
432,0,14521,17367
433,0,15049,18940
434,1,20127,13925
435,1,17194,14864
436,0,19122,16033
437,1,16359,15819
438,1,17027,16519
439,0,17665,17040
440,1,17209,14728
441,1,19187,16391
442,1,17482,15393
443,1,16035,16643
444,0,16070,17993
445,0,15617,16568
446,1,16130,14702
447,0,17172,16041
448,0,15475,17447
449,0,16248,18490
450,1,16745,14458
451,0,16472,15105
452,1,18133,15553
453,0,17068,16282
454,1,16635,16483
455,1,17950,15148
456,0,14494,16104
457,1,18595,17052
458,1,19767,17852
459,1,14970,15565
460,0,15891,17081
461,1,16472,14652
462,0,15210,17840
463,1,16096,17423
464,1,16870,15453
465,0,15842,15771
466,1,15297,15280
467,0,16412,16261
468,1,19013,14196
469,0,14842,18242
470,0,16684,17628
471,0,15235,18074
472,1,18159,17341
473,0,13916,20202
474,0,15107,18906
475,1,18597,14169
476,1,18640,14252
477,0,15483,18528
478,0,15242,16739
479,0,14945,16641
480,1,17197,16464
481,1,17292,17898
482,0,14822,17242
483,0,15027,17064
484,1,15502,14871
485,0,16931,18501
486,1,16787,17258
487,1,15022,16233
488,1,17365,14625
489,1,17658,15711
490,1,19549,14837
491,0,16516,15401
492,1,15177,16010
493,1,18520,17956
494,0,18600,19189
495,1,18439,15419
496,1,15632,16971
497,0,17161,15674
498,1,15263,14684
499,1,16396,15421
500,1,17592,16175
501,1,17802,15034
502,1,20047,16150
503,0,13795,18426
504,0,15714,15760
505,0,16418,16676
506,1,18012,15167
507,0,14558,17735
508,1,17779,14791
509,1,16931,14488
510,1,16555,16566
511,1,16891,16605
512,0,16940,16850
513,1,17242,16839
514,1,17734,14599
515,0,17982,17610
516,1,16162,17798
517,1,18574,13489
518,0,15123,17228
519,1,16075,17449
520,0,14443,16609
521,1,16656,15726
522,0,15938,16888
523,1,14116,16537
524,1,17054,17945
525,1,15306,15517
526,1,16193,16598
527,1,18126,15765
528,1,17592,17726
529,1,16282,14220
530,1,17167,15078
531,0,15679,20376
532,1,16045,16327
533,0,16564,17007
534,0,14376,17498
535,0,14128,16553
536,1,14584,15397
537,1,18457,17079
538,0,18282,16740
539,0,17130,18683
540,1,17759,13509
541,1,17194,14422
542,1,16527,17011
543,1,17915,16805
544,0,17610,16143
545,1,19453,18358
546,1,18772,13603
547,0,14626,16173
548,1,20236,14707
549,0,17256,16433
550,1,16601,14802
551,0,14672,15429
552,1,17001,16910
553,0,18213,19751
554,1,19862,17634
555,0,18179,13489
556,1,15796,15156
557,1,15377,17248
558,0,14874,17063
559,0,17780,17306
560,0,16804,17876
561,0,17372,20189
562,1,15162,15405
563,0,14742,16259
564,0,13428,16283
565,0,13886,16706
566,1,16632,14910
567,1,17215,15237
568,1,17528,17357
569,0,16555,15896
570,1,15246,18220
571,0,14033,17111
572,0,16778,15625
573,1,18960,15082
574,1,17065,14348
575,1,18283,15245
576,0,15190,17093
577,1,18192,14674
578,1,17329,17113
579,0,16422,16931
580,0,17385,16407
581,1,16663,14779
582,1,17902,15678
583,0,17398,18477
584,0,15532,17300
585,0,15412,16298
586,1,17718,14701
587,0,17055,17486
588,0,16020,18638
589,0,16254,16994
590,1,19201,15219
591,0,15994,18022
592,1,20236,14703
593,0,13428,17705
594,1,18661,13794
595,0,15488,16466
596,0,17547,15122
597,1,19189,15374
598,1,16749,15773
599,1,16214,15352
600,0,15500,15903
601,0,14735,16939
602,1,17489,17708
603,1,20236,15050
604,1,18048,14634
605,0,15843,15051
606,1,16810,16956
607,0,15204,16782
608,1,16006,16775
609,1,16746,14886
610,1,17648,14123
611,1,18047,17368
612,0,13976,16531
613,0,17264,16499
614,0,16767,17988
615,1,19488,14996
616,0,15875,15689
617,1,17717,16490
618,1,16864,16934
619,0,14788,16393
620,0,14743,18208
621,0,17949,18380
622,1,17737,16654
623,0,15307,16566
624,0,13973,20376
625,1,18089,16931
626,1,17224,15171
627,1,17649,17045
628,1,16886,16811
629,0,14584,15126
630,1,17331,16232
631,1,17763,15580
632,1,16814,16023
633,0,14500,18114
634,0,17435,16215
635,0,14682,16509
636,0,16752,16169
637,0,15649,15983
638,0,16124,18618
639,1,20236,18474
640,1,17569,17685
641,1,17097,17294
642,0,16906,16146
643,1,16632,15408
644,0,13449,19525
645,0,16712,19051
646,1,16372,13782
647,0,17384,15209
648,0,17075,15887
649,0,18860,17209
650,0,15381,15568
651,0,13545,18413
652,0,13428,17405
653,0,14423,17025
654,1,17551,18569
655,1,19537,16819
656,1,20218,15319
657,1,15191,16535
658,1,18802,15021
659,1,17116,13788
660,1,18230,16116
661,0,15829,16293
662,1,14729,14746
663,1,17793,16493
664,1,17525,13641
665,0,17579,17104
666,1,18227,15538
667,0,14898,16265
668,0,15769,18768
670,0,17788,15819
671,0,14738,18937
672,1,16113,16218
673,0,18967,15315
674,0,15416,15499
675,0,18096,15570
676,0,14411,16275
677,1,15668,14881
678,0,16288,17510
679,0,18575,18779
680,0,17379,15620
681,0,15222,16872
682,1,16191,15901
683,0,14930,18348
684,0,17062,15140
685,0,14763,18347
686,0,15351,18178
687,0,17625,16808
688,1,15933,15858
689,0,18229,19731
690,1,15356,17062
691,1,17005,16731
692,1,16747,15689
693,0,16060,17836
694,0,14998,17696
695,0,16182,16277
696,0,17065,16546
697,0,15544,16417
698,1,16541,18055
699,1,15112,16085
700,0,17550,19049
701,1,18323,14312
702,1,18553,13596
703,0,15252,15867
704,1,16863,16080
705,0,13925,17542
706,1,16828,15916
707,0,15391,18137
708,1,16350,15060
709,1,17159,17230
710,0,15484,18012
711,1,17024,16123
712,1,18680,16667
713,0,14657,17770
714,0,15550,17017
715,0,15861,19058
716,1,15202,15233
717,0,15214,16016
718,0,16171,17813
719,0,18184,15195
720,1,16751,14554
721,0,16973,13990
722,1,17239,16072
723,0,14660,18601
724,0,17429,16709
725,1,18513,14415
726,1,16225,13795
727,0,16267,16061
728,0,15478,16481
729,0,16335,15735
730,1,14826,16422
731,1,19092,17057
732,0,17619,16346
733,1,16872,18104
734,1,17265,15539
735,1,19308,17272
736,1,16535,17658
737,0,16606,17931
738,0,17168,17193
739,0,14839,15928
740,1,17812,16067
741,0,14827,16665
742,1,15578,16596
743,0,16628,16733
744,0,14609,16750
745,0,13428,16898
746,1,15277,17382
747,0,16287,16262
748,0,13428,19182
749,0,17687,18296
750,1,17187,15641
751,0,14015,18944
752,1,16291,16127
753,1,16289,15264
754,1,17234,15760
755,0,14663,17117
756,1,16278,16009
758,1,15366,16730
759,0,14526,16846
760,1,16547,15279
761,1,14936,16479
762,0,15594,18591
763,0,17416,17783
764,0,15722,19031
765,0,16091,14903
766,0,15048,16186
767,1,20236,16545
768,1,18272,14549
769,0,16270,15522
770,1,17298,16972
771,1,17230,15781
772,0,17098,17733
773,0,17380,16320
774,0,16829,17318
775,0,14538,16873
776,1,15159,17655
777,0,14874,17569
778,0,17721,16561
779,1,20236,15291
780,1,20103,15415
781,1,16491,14717
782,1,17640,14872
783,1,15518,16204
784,0,17381,15963
785,0,15127,15132
786,0,13794,17794
787,1,15139,15382
788,0,15929,16638
789,1,14974,15700
790,1,19695,15759
791,1,15154,15431
792,0,14766,17535
793,0,17341,15828
794,1,15464,16200
795,1,18529,17195
796,1,18149,15113
797,0,15840,14029
798,1,17915,16464
799,0,16242,16840
800,1,18498,17052
801,0,19120,17502
802,1,17948,17855
803,0,16517,15334
804,0,13452,16905
805,0,15687,17342
806,0,14763,19225
807,0,16417,15860
808,1,18168,15641
809,0,15903,17734
810,1,14702,14053
811,0,18874,15783
812,0,15225,17932
813,0,15858,16370
814,0,14693,18567
815,1,15574,15674
816,0,15692,15186
817,1,18297,13501
819,0,15414,15967
820,1,19601,16411
821,0,15189,16909
822,0,16452,16932
823,0,14899,15980
824,1,18964,13528
825,1,18923,13600
826,0,17472,17686
827,0,14665,17370
828,1,16415,14996
829,0,13960,19391
830,0,14773,18898
831,1,19181,16028
832,0,14528,18519
833,0,15827,17521
834,0,16179,15190
835,1,15049,16613
836,0,15453,16117
837,1,14645,16022
838,0,15766,16855
839,1,18890,14656
840,0,16450,17152
841,0,16490,16998
842,1,17408,15042
843,1,16951,16703
844,1,17120,15694
845,0,14310,15050
846,0,14689,16413
847,1,18341,15030
848,0,17772,14371
849,0,16262,17555
850,1,16239,15333
851,0,16944,19705
852,1,16939,15520
853,0,14615,16145
854,1,17706,17490
855,0,17727,16206
856,0,13428,18252
857,1,17613,13664
858,1,18632,15725
859,1,15476,16182
860,0,15717,16244
861,1,18253,16570
862,0,14349,15354
863,0,15407,16529
864,0,15273,16081
865,0,14868,17149
866,1,14892,16642
867,1,18509,15535
868,1,17096,16677
869,1,17377,15276
870,0,16554,17330
871,1,15256,16213
872,1,17710,13489
873,0,15041,16248
874,1,19027,14411
875,1,18718,16314
876,0,16938,16338
877,1,16772,14836
879,0,15518,15203
880,0,17543,16549
881,1,15829,15379
882,1,17389,17279
883,1,16683,17079
884,0,16985,17790
885,0,14904,16206
886,0,17551,15788
887,0,15278,17271
888,0,15539,15531
889,1,17860,16620
890,1,15156,16219
891,1,18152,18130
892,1,16587,16603
893,0,15562,16088
894,1,14944,15860
895,0,15269,18062
896,0,17166,18727
897,1,14813,18520
898,0,15787,18244
899,0,14795,17143
900,1,19848,14573
901,0,13886,17299
902,1,16149,17435
903,1,15312,17097
904,1,17267,14160
905,0,15961,16002
906,1,17704,17065
907,0,14808,16849
908,0,16374,15962
909,0,16933,14097
910,1,18156,17199
911,1,19397,17110
912,0,17033,17495
913,1,19061,17699
914,1,16653,16513
915,1,16781,16148
916,0,15978,16301
917,1,15859,17155
919,1,17528,18069
920,1,17154,15221
921,0,16112,16804
922,0,16210,15444
923,1,18369,16035
924,1,16097,16240
925,0,13428,18721
926,0,15552,17045
927,1,17597,15063
928,0,15709,20376
929,0,17035,16184
930,1,15000,14802
931,1,18426,18046
932,1,17634,15616
933,1,20236,13489
934,0,16034,16788
935,0,14147,15547
936,0,18304,16698
937,0,15104,17234
938,0,18847,17860
939,1,15782,14438
940,1,16893,16325
941,0,18545,15924
942,0,16918,17321
943,1,18722,15129
944,1,18247,14847
945,0,17471,16452
946,1,17641,16145
947,0,14605,18526
948,1,16249,15574
949,0,17157,17859
950,1,15165,16451
951,0,15427,15601
952,1,17878,15577
953,0,18000,15496
954,1,15851,17192
955,0,15832,18006
956,0,18931,17127
957,0,16157,16089
958,1,18354,16579
959,0,17274,16850
960,0,15372,17957
961,1,20175,18565
962,0,15486,14582
963,1,16074,16929
964,1,16849,14858
965,0,16291,19184
966,0,16164,18438
967,1,17002,17156
968,0,15342,16972
969,0,13428,19997
970,1,17472,16295
971,1,15681,14762
972,1,18634,16557
973,0,13881,16854
974,0,18145,20376
975,1,17308,18307
976,0,13428,19444
977,1,20075,14222
978,0,14377,19518
979,1,17270,14952
980,1,18967,15372
981,0,14044,20376
982,0,16467,16997
983,1,17846,18642
984,1,19993,16554
985,0,16223,14800
986,0,14071,18023
987,1,15284,16168
988,0,16346,13691
989,0,14358,16389
990,1,17206,14313
991,1,14767,15743
992,1,18291,16109
993,0,14979,16947
994,1,17214,19020
995,0,16461,20376
996,1,14027,16132
997,1,17432,16439
998,1,15969,16778
999,0,16308,18211
1000,0,14119,16444
1001,1,16044,16144
1002,0,15011,19407
1003,0,14517,18042
1004,0,13653,17381
1005,0,17833,16577
1006,1,17759,14677
1007,0,16158,15961
1008,0,16147,15665
1009,0,17065,16046
1010,1,17287,16470
1011,1,15997,15498
1012,1,15387,16310
1013,1,16313,16844
1014,0,15987,14954
1015,1,16304,18640
1017,1,17493,14642
1018,1,19443,14094
1019,0,14920,16590
1020,0,17511,17286
1021,1,16819,16360
1022,1,14703,16830
1023,1,16801,16226
1024,0,16254,16583
1025,1,15478,17853
1026,1,15363,17986
1027,1,17121,16904
1028,0,15069,19229
1029,0,15891,16389
1030,0,13428,17816
1031,0,15956,15999
1032,1,15661,16304
1033,1,16789,15583
1034,0,16347,19876
1035,0,14901,16024
1036,0,17018,15922
1037,0,16342,20376
1038,0,14801,18328
1039,0,17333,15397
1040,0,15052,16781
1041,1,15585,16382
1042,0,15273,16037
1043,0,15666,18150
1044,0,14591,16860
1045,0,14690,16443
1046,0,17151,18273
1047,0,16378,15950
1048,0,15661,16606
1049,0,16589,16606
1050,0,15900,17186
1051,1,14927,17541
1052,1,16875,14644
1053,0,17847,14787
1054,1,16369,16058
1055,1,17320,14470
1056,1,18532,15337
1057,0,17136,15773
1058,0,17137,16112
1059,0,19114,16570
1060,0,13555,19928
1061,1,14707,16975
1062,0,16025,16069
1063,0,16776,16419
1064,1,15379,15143
1065,1,17196,14223
1066,1,17200,14223
1067,0,17472,17895
1068,0,15435,16512
1069,1,16588,14806
1070,1,16784,15843
1071,1,16982,18328
1072,1,17635,19065
1073,0,15913,17004
1074,0,14487,16575
1075,0,15643,16688
1076,1,16853,16640
1077,1,18242,13758
1078,1,16866,18409
1079,0,14673,17272
1080,1,15463,15801
1081,1,15824,17871
1082,1,17129,15937
1083,1,16335,15168
1084,0,17099,15520
1085,1,19077,13806
1086,1,14983,16590
1087,1,17368,17088
1088,0,15286,18097
1089,0,16317,17342
1090,1,16364,15955
1091,0,14623,15040
1092,1,19938,15404
1093,0,16221,17658
1095,1,17908,17255
1096,0,15831,14697
1097,1,17668,16644
1098,0,15470,17178
1099,1,16448,16006
1100,1,14877,16427
1101,1,18917,14306
1102,0,16356,19221
1103,0,14676,16239
1104,0,13428,17520
1105,1,17769,16352
1106,0,16051,16536
1107,0,17395,15161
1108,1,16819,14923
1109,0,16315,16116
1110,1,16846,18551
1111,0,15951,16626
1112,1,16858,15698
1113,1,17335,16048
1114,0,16781,18844
1115,1,17225,14666
1116,1,16948,14602
1117,0,16056,17207
1118,1,15440,17169
1119,0,16058,17499
1120,1,16315,15552
1121,1,17326,16117
1122,0,16851,15145
1123,1,16853,14756
1124,1,17556,15355
1125,0,17840,20265
1126,0,18725,16349
1127,1,16781,16102
1128,0,15376,20240
1129,0,14193,17309
1130,1,16862,17404
1131,1,17003,15369
1132,0,15506,16178
1133,0,18724,18102
1134,1,16422,14851
1135,1,18337,15126
1136,1,15385,18519
1137,0,15566,17517
1138,1,18326,14809
1139,0,16299,16219
1140,0,13991,15371
1141,1,14205,15320
1142,0,17955,14768
1143,1,20236,14439
1144,0,14197,16510
1145,0,16788,15442
1146,1,14798,17200
1147,0,15598,16891
1148,1,16655,14566
1149,0,16804,14514
1150,1,15977,17374
1151,0,15654,16014
1152,1,19035,13570
1153,0,16247,15215
1154,0,18074,16187
1155,1,17274,13634
1156,1,17839,16387
1157,1,16700,14894
1158,1,15852,15786
1159,1,15296,15408
1160,1,14426,14749
1161,1,15856,15938
1162,1,17895,15807
1163,0,15728,18429
1164,1,17333,16552
1165,0,16404,16121
1166,1,15738,16098
1167,0,13580,17859
1168,0,16773,16653
1169,0,14993,16838
1170,0,15219,15782
1171,0,16046,17158
1172,0,15683,17589
1173,0,16408,18925
1174,0,15104,17935
1175,0,16113,17176
1176,1,18894,17321
1177,0,16652,17079
1178,0,15409,17570
1179,1,16733,16254
1180,1,17307,14070
1181,1,15283,15053
1182,0,14428,15645
1183,1,16679,16406
1184,0,15400,17952
1185,0,16230,16234
1186,0,16028,18891
1187,1,15731,15816
1188,0,14816,19306
1189,1,15862,16850
1190,1,14140,15621
1191,1,16699,15590
1192,0,13428,18797
1193,1,17538,17300
1194,0,19038,14097
1195,0,18082,18058
1196,0,14004,15117
1197,1,16349,15595
1198,0,15373,17315
1199,1,16559,16726
1200,1,16513,13489
1201,1,19886,14537
1202,1,17167,14374
1203,1,16809,14617
1204,0,18178,18464
1205,0,14742,18282
1206,1,15126,15694
1207,0,15449,18424
1208,0,15233,18417
1209,0,14602,16787
1210,1,15390,15777
1211,1,16766,15223
1212,1,16093,18001
1213,1,15575,14838
1214,1,16953,15880
1215,0,15529,15942
1216,1,16836,14267
1217,0,13820,17816
1218,1,19321,16747
1219,0,15834,16025
1220,1,16585,17121
1221,0,15483,16912
1222,1,17834,14037
1223,1,16858,14451
1224,1,20236,17791
1225,1,18449,16115
1226,1,17354,15053
1227,0,16097,15244
1228,1,16138,16381
1229,1,17794,13489
1230,1,19218,15970
1231,1,18501,15594
1232,0,15922,17376
1233,1,16119,15827
1234,0,14625,17603
1235,0,16685,17020
1236,0,13895,16789
1237,1,19890,15489
1238,0,15164,19219
1239,0,17498,15414
1240,1,19452,16859
1241,0,17322,15950
1242,1,17243,14440
1243,0,18020,18553
1244,0,16289,17252
1245,1,18303,15661
1246,0,15728,17343
1247,1,16097,14885
1248,0,14414,16777
1249,1,15852,17770
1250,1,15202,15057
1251,1,15572,14670
1252,0,16488,17358
1253,0,14353,18903
1254,1,19133,14895
1255,0,15314,16973
1256,0,17690,16313
1257,1,20183,16520
1258,1,18408,15439
1259,0,15595,19277
1260,1,17119,18481
1261,0,17658,17550
1262,1,19600,14256
1263,0,16336,20244
1264,1,16860,13876
1265,1,14501,14751
1266,0,17148,16064
1267,1,18559,15953
1268,0,16250,16096
1269,1,15791,14831
1270,0,15634,18828
1271,1,15148,15192
1272,1,17893,16712
1273,1,16200,17127
1274,0,13428,16541
1275,0,15903,16526
1276,1,15719,16840
1277,0,13428,18559
1278,1,16305,14512
1279,1,18269,14880
1280,0,14956,18488
1281,1,16180,17161
1282,0,16808,16192
1283,0,17971,14825
1284,1,16998,14379
1285,0,15015,20080
1286,1,14881,15737
1287,1,15730,14991
1288,1,19098,16651
1289,1,16169,15608
1290,0,16954,18027
1291,0,15984,15791
1292,1,18078,16874
1293,1,16329,15381
1294,0,17193,18220
1295,1,18401,16558
1296,0,14704,18221
1297,0,16367,17571
1298,0,13428,16832
1299,0,13967,16648
1300,0,16511,16211
1301,0,17496,17492
1302,1,17743,16171
1303,1,16888,16032
1304,0,13742,16038
1305,0,17793,19754
1306,0,16178,17498
1307,1,17706,18198
1308,1,16149,16115
1309,0,14760,16724
1310,0,15820,16126
1311,0,15173,17527
1312,0,14769,15840
1313,0,14353,15362
1314,1,16763,16616
1315,1,16747,14621
1316,0,17044,16199
1317,0,15532,17311
1318,0,17347,18652
1319,1,18758,16621
1320,1,20236,17038
1321,1,16539,14592
1322,1,19096,18201
1323,1,17938,14525
1325,1,19640,14489
1326,1,16891,16942
1327,1,17485,14410
1328,0,16696,14751
1329,1,17499,14855
1330,1,18288,15719
1331,0,15684,17118
1332,0,14737,14645
1333,0,18715,17389
1334,1,18551,16701
1335,1,19351,15382
1336,0,17318,17584
1337,1,18969,14830
1338,1,17113,13835
1339,0,17201,19018
1340,1,16749,15597
1341,1,16523,13931
1342,0,18285,13704
1343,1,17346,17197
1344,0,17443,14657
1345,1,16526,15964
1346,1,17363,16460
1347,1,18779,15100
1349,1,15649,14368
1350,0,16256,15927
1351,1,16688,15680
1352,0,17724,14532
1353,0,15320,19668
1354,1,15900,16589
1355,1,18377,15414
1356,0,15785,16307
1357,0,17625,17111
1360,1,17048,17080
1361,0,17910,17822
1362,1,16614,13489
1363,0,15943,16410
1364,1,14924,17535
1365,1,15069,17043
1366,1,16366,17329
1367,0,14158,19898
1368,0,14291,16900
1369,0,15078,16096
1370,1,17234,14757
1371,1,17826,14752
1372,0,18445,17893
