,gameid,bluewins,bluegolddiff,blueexperiencediff,bluegoldpermin,bluetotalexperience,bteamtotminionsdiff,blaneminions_diff,bluetotalgold
108,4522251387,1,1425,728,1730.9,18904,1,13,17309
109,4472377536,1,1177,1161,1641.6,19684,-2,7,16416
110,4466226469,1,-1586,410,1522.2,17812,20,20,15222
111,4473936532,0,-2896,-2081,1552.6,17629,-32,-4,15526
112,4524445302,1,905,1054,1759.7,15938,-30,-38,17597
113,4459740551,0,-3887,-3392,1683.4,14815,-35,-24,16834
114,4463542711,1,3413,2984,1905.8,19575,2,-8,19058
115,4508629003,0,-256,-1580,1680.6,18034,-2,-2,16806
116,4475094281,1,-1820,-1412,1664.3,17554,-5,-4,16643
117,4513430767,1,625,-534,1618.9,17737,0,7,16189
118,4508634893,0,-3628,-2009,1409.5,17286,-72,-70,14095
119,4522792360,0,769,480,1680.4,17544,-3,-16,16804
120,4507927084,0,-576,-682,1730.5,18192,8,31,17305
121,4522505411,0,-3900,-3550,1453.9,16806,-55,-42,14539
122,4454104215,1,-7,-231,1753.0,18299,-34,-17,17530
123,4516166112,1,1683,1433,1843.1,19562,-38,-24,18431
124,4454239214,0,-4782,-3408,1403.2,16550,-65,-52,14032
125,4517801069,1,636,-214,1786.9,17810,-16,-10,17869
126,4518738712,1,-3421,-2624,1597.4,16174,-46,-36,15974
127,4497571086,1,976,1599,1610.8,18920,31,10,16108
128,4477243448,0,-211,-1305,1630.2,17297,5,1,16302
129,4386507847,1,1221,462,1675.0,17603,22,18,16750
130,4474136526,1,2037,1291,1650.6,18669,-37,9,16506
131,4523618632,1,817,-94,1638.9,17937,-8,12,16389
132,4507859079,1,-137,-351,1576.0,18295,-38,-12,15760
133,4524740998,1,-1539,-1497,1517.6,16820,4,21,15176
134,4512162103,0,-1707,-1286,1519.6,16908,-30,-25,15196
135,4465066223,1,-556,-235,1625.0,17537,82,85,16250
136,4523411488,1,-146,-717,1654.1,16779,-33,-26,16541
137,4524017392,1,4083,2884,1865.7,19205,21,36,18657
138,4513054107,1,1389,1418,1687.3,19105,10,-3,16873
139,4478629184,0,-890,-528,1438.3,15898,14,3,14383
140,4395598976,0,-2519,-1095,1442.0,15196,-16,-2,14420
141,4524952056,0,-4440,-4020,1472.0,15031,-39,-18,14720
142,4453994009,1,1140,705,1740.6,19761,65,61,17406
143,4462358723,0,-1656,-1832,1521.0,15974,-58,-47,15210
144,4512811324,1,2171,-261,1727.2,15840,-11,-7,17272
145,4438263187,1,3841,2484,1935.8,19257,-6,-10,19358
146,4483907436,1,-885,-2172,1685.5,16360,20,16,16855
147,4521937261,0,-2752,-2286,1520.9,16256,-38,-50,15209
148,4515587675,1,2081,466,1954.2,17935,-6,7,19542
149,4517493567,0,453,-19,1526.7,17321,25,23,15267
150,4469549199,0,830,-1002,1524.3,17194,4,4,15243
151,4500100836,0,94,-445,1621.4,17234,35,35,16214
152,4451727242,0,-722,891,1597.6,18227,-33,-54,15976
153,4462194525,0,-1491,-799,1655.7,17632,2,8,16557
154,4481415061,0,-3109,-1745,1614.2,16953,15,-3,16142
155,4519169394,0,537,-477,1798.4,18708,55,52,17984
156,4449504375,1,4079,5568,2003.8,21588,49,14,20038
157,4468503240,1,4006,2081,1957.1,18463,6,3,19571
158,4495708706,0,-3582,-5395,1455.7,15128,-65,-46,14557
159,4505357300,1,-355,233,1602.9,18567,-13,-19,16029
160,4523723534,1,3464,994,1805.3,16741,53,29,18053
161,4479157446,1,2217,2183,1809.8,18905,24,-4,18098
162,4518376722,1,3049,1511,1834.3,19519,10,1,18343
163,4521259209,1,-305,-474,1559.6,17998,5,-1,15596
164,4471123041,0,1325,479,1581.2,17882,10,11,15812
165,4524913184,1,-53,87,1594.7,16477,8,18,15947
166,4514301047,0,-2865,-1441,1499.7,16532,-35,-41,14997
167,4512184541,0,-93,-561,1646.3,17576,-2,-2,16463
168,4517823800,0,-420,-1185,1607.2,17054,7,13,16072
169,4518835789,1,5008,2355,1914.0,19579,93,74,19140
170,4510355472,0,-2074,-1795,1454.7,15883,-15,-8,14547
171,4512067346,1,-3,1013,1564.4,17717,15,-2,15644
172,4514106633,0,-837,-660,1573.4,17911,-40,-36,15734
173,4522399054,1,510,-747,1679.4,17320,-3,13,16794
174,4519443312,0,-3549,-2407,1593.0,17257,-29,-14,15930
175,4523035934,1,272,359,1693.6,18646,27,41,16936
176,4429486916,1,2187,2189,1794.1,19379,23,24,17941
177,4482052361,0,-4907,-2556,1369.8,15671,-29,-20,13698
178,4522798631,1,63,648,1594.3,19262,30,28,15943
179,4477176627,1,-2132,-484,1589.1,18304,13,-8,15891
180,4475170098,0,-976,-964,1621.6,19002,-9,-11,16216
181,4432091797,0,-1342,-1966,1475.4,17158,-26,-32,14754
182,4495710198,1,2304,2532,1690.9,18318,19,21,16909
183,4520931258,1,4219,3379,1885.8,19691,11,-1,18858
184,4424048842,0,-2049,-2340,1595.2,17112,-64,-63,15952
185,4512915759,0,-4179,-3823,1328.6,15085,-70,-49,13286
186,4476065129,0,-66,-1073,1681.2,18466,6,24,16812
187,4494781192,1,510,142,1790.6,18001,-29,-37,17906
188,4525224702,0,2591,1567,1640.8,19181,73,55,16408
189,4475925954,0,-3772,-3034,1505.6,16369,12,21,15056
190,4516121686,0,965,-878,1783.1,18269,1,7,17831
191,4420667626,0,-3468,-2158,1373.8,16678,-76,-36,13738
192,4489494110,1,6153,3916,2031.7,20330,25,16,20317
193,4523340688,0,-2216,-2730,1409.1,16184,2,4,14091
194,4496344135,0,-2308,-1767,1603.6,16916,-2,-15,16036
195,4524697287,1,1917,-179,1705.2,17392,19,16,17052
196,4523386766,0,-1676,-1759,1635.4,18778,-10,24,16354
197,4518474732,1,2709,1259,1829.7,19476,18,28,18297
198,4486453937,0,-1304,-552,1574.8,16524,-6,6,15748
199,4496397328,1,1824,1409,1788.6,20099,8,7,17886
200,4520768462,0,229,-45,1706.9,16703,-48,-38,17069
201,4518654959,1,1507,1667,1663.1,19310,41,38,16631
202,4519058321,0,-1787,-1135,1476.6,18364,2,-4,14766
203,4512960247,0,815,1397,1711.3,19396,49,52,17113
204,4445314635,0,-4767,-5061,1512.0,16713,-65,-71,15120
205,4477030195,0,-1861,-2532,1533.9,16302,-64,-41,15339
206,4497887298,0,-7655,-4485,1343.8,14164,-34,-60,13438
207,4459403995,1,-2058,-2051,1558.2,17281,-10,-12,15582
208,4489079383,1,-575,-208,1544.1,17550,-22,-12,15441
209,4516695912,0,1765,701,1600.2,18467,38,33,16002
210,4490435808,0,540,269,1600.9,18033,21,35,16009
211,4524895124,1,862,-442,1810.6,16668,-20,-18,18106
212,4519469738,1,2761,1659,1650.1,18428,26,20,16501
213,4523527200,0,-1249,-853,1550.5,17721,28,13,15505
214,4453080532,1,-75,655,1619.5,19145,33,27,16195
215,4523303530,1,5805,4777,2029.4,18459,74,52,20294
216,4495003373,0,-810,-305,1547.5,18145,-7,-14,15475
217,4524303571,0,1034,706,1624.3,18154,4,-2,16243
218,4490487724,1,-2595,-2856,1506.5,17137,-32,-29,15065
219,4515381064,1,-334,-73,1435.9,17258,10,5,14359
220,4512271556,1,3806,2161,1937.7,20008,6,2,19377
221,4452824789,0,-2711,-2547,1413.5,17185,-31,-10,14135
222,4481234929,1,2551,1754,1744.8,18315,49,47,17448
223,4500668824,0,66,-446,1595.8,17693,-51,-41,15958
224,4521663948,0,2242,727,1828.7,18402,-5,-12,18287
225,4525067275,0,-893,-213,1553.4,17975,30,21,15534
226,4496503390,0,-1208,-152,1493.5,17703,-7,-18,14935
227,4519912865,1,4003,2566,1933.1,19387,38,40,19331
228,4447426572,1,819,2149,1713.1,19719,27,34,17131
229,4493407357,1,4009,1935,1798.3,18340,48,47,17983
230,4459426947,0,-259,-1001,1684.2,18443,-30,-26,16842
231,4519988685,0,1728,-738,1756.9,17101,16,32,17569
232,4519844846,0,474,393,1588.2,16956,46,34,15882
233,4525070748,0,1863,328,1704.9,17241,-19,-2,17049
234,4465204267,0,-3846,-2306,1355.6,16451,-59,-53,13556
235,4517684472,0,-2373,-1592,1469.2,18342,-54,-23,14692
236,4517646191,1,218,-204,1700.0,16417,-9,-5,17000
237,4459901632,1,2208,1929,1720.0,18984,39,20,17200
238,4495413031,0,-1440,-373,1540.9,18408,-10,-24,15409
239,4519612989,0,-845,-1743,1728.3,16235,-54,-24,17283
240,4406716520,0,-2635,-2694,1547.7,15965,-66,-68,15477
241,4525184804,1,2817,2414,1676.3,18897,16,17,16763
242,4524569254,1,2812,2497,1843.4,20263,16,-3,18434
243,4431143877,0,-3864,-2759,1373.1,16666,-51,-45,13731
244,4446797537,1,334,955,1725.1,19984,21,3,17251
245,4524403652,1,1909,2436,1705.1,18864,56,50,17051
246,4524260824,0,-346,-358,1634.6,18557,4,27,16346
247,4440119391,1,5802,5396,2109.5,21242,84,63,21095
248,4518199999,1,1085,1048,1643.4,18641,9,8,16434
249,4520967143,0,-2383,-1807,1583.4,18362,14,15,15834
250,4498216490,1,306,1895,1696.8,18900,20,6,16968
251,4493677959,0,-1568,-1850,1594.9,17005,-28,-6,15949
252,4523093613,1,-1419,-1156,1605.6,17578,11,7,16056
253,4437257190,1,2263,1634,1839.2,18818,1,9,18392
254,4521897707,1,1374,1225,1641.5,18271,3,13,16415
255,4467164835,1,4301,3444,1994.8,20064,13,15,19948
256,4521542696,1,3905,3713,1818.9,19191,41,39,18189
257,4495464440,1,-2919,-2318,1439.8,15990,-24,-13,14398
258,4452038425,1,2923,2787,1735.9,20592,36,23,17359
259,4515821204,0,-1059,-951,1581.7,17535,-2,-4,15817
260,4502922066,0,-406,-14,1586.1,19121,31,35,15861
261,4384241438,1,1143,1251,1635.5,18991,8,22,16355
262,4466040137,1,736,266,1833.3,18622,30,20,18333
263,4476661914,0,-4816,-3750,1456.2,16952,-45,-63,14562
264,4458282675,1,3977,3949,1967.7,20488,57,28,19677
265,4507871318,1,3026,3357,1879.3,18395,41,43,18793
266,4431970864,0,-4262,-2426,1427.6,16422,-21,-34,14276
267,4516600859,0,2476,772,1680.8,17831,-28,-21,16808
268,4499806829,0,-3545,-3206,1500.2,16448,-25,-7,15002
269,4472532304,0,-4324,-2979,1435.4,15677,-46,-40,14354
270,4444232401,1,-496,-837,1592.6,19262,24,5,15926
271,4521519484,0,-1620,-1442,1474.2,16162,-11,15,14742
272,4515353277,1,-1334,-1607,1648.1,17069,5,3,16481
273,4524248852,0,-796,-217,1630.7,17660,-33,-21,16307
274,4521172111,1,1398,1804,1656.9,19120,-9,5,16569
275,4517776491,1,3005,1938,1732.2,19067,63,32,17322
276,4519368335,0,-3156,-3287,1471.1,16559,-30,-16,14711
277,4523639973,1,-473,383,1600.9,18511,35,22,16009
278,4522111616,0,-3397,-2282,1510.2,16437,-44,-29,15102
279,4521188250,0,-1937,-1514,1549.9,17298,-15,18,15499
280,4493154896,1,3765,2661,1845.6,19319,26,25,18456
281,4512775669,0,384,-690,1576.7,17413,-22,-26,15767
282,4505100164,1,2708,682,1889.0,19229,-12,-7,18890
283,4439464616,0,-2427,-1462,1490.1,17696,-25,-15,14901
284,4515793486,1,1901,684,1678.5,19346,13,34,16785
285,4505809782,1,2480,1699,1878.6,18509,34,14,18786
286,4502875704,0,-3581,-2467,1472.7,16272,-8,-29,14727
287,4475734964,1,2911,1378,1800.9,18763,-5,-12,18009
288,4482233269,0,-1245,-1370,1452.6,17366,-20,-17,14526
289,4511770317,0,166,-497,1662.7,17397,0,3,16627
290,4524067975,0,-6309,-3115,1307.5,15488,-93,-101,13075
291,4474977192,0,-2047,-2555,1610.5,17502,-13,6,16105
292,4467242137,0,-1464,-1509,1478.2,16677,-34,-25,14782
293,4521516098,1,874,-302,1588.9,18189,6,2,15889
294,4475861894,0,-627,183,1515.8,17387,28,7,15158
295,4473365528,0,-334,-292,1507.3,17578,-16,-24,15073
296,4520554639,0,449,1210,1712.5,18785,69,63,17125
297,4519562141,0,-780,-73,1637.7,16818,26,9,16377
298,4477654399,0,-205,1064,1588.8,18421,52,17,15888
299,4524744736,0,-1731,-1585,1441.4,17356,-38,-42,14414
300,4437489184,0,947,-188,1832.9,18315,32,25,18329
301,4516668528,0,-713,-1111,1624.5,16720,-7,8,16245
302,4519159286,1,1171,-1140,1612.0,17683,28,16,16120
303,4519850833,0,-459,-307,1554.8,16604,5,-5,15548
304,4517486439,1,2673,1388,1743.2,18495,-29,-7,17432
305,4524983213,1,-251,-1675,1692.2,17350,-24,-14,16922
306,4518971056,0,534,634,1614.2,18818,-45,-32,16142
307,4519735486,0,-4005,-2248,1463.0,17694,-45,-60,14630
308,4474578405,1,-318,86,1513.1,18134,47,23,15131
309,4495526731,0,2682,2118,1769.7,18512,47,38,17697
310,4523588445,0,2092,1763,1611.6,17653,54,53,16116
311,4496025643,1,2300,2148,1848.5,19949,50,41,18485
312,4449279281,1,2642,1346,1698.0,18593,45,53,16980
313,4524290588,1,2833,220,1706.6,17494,41,64,17066
314,4481379221,0,-336,-1059,1720.2,17447,-33,0,17202
315,4497057886,0,-5136,-3713,1470.2,16461,-64,-75,14702
316,4457248839,1,1872,3579,1869.2,19886,27,23,18692
317,4462529490,0,-1048,-450,1854.9,16837,-3,-19,18549
318,4511728953,1,-88,-932,1585.9,18390,20,20,15859
319,4455484063,1,-1427,-1008,1604.4,18226,9,-19,16044
320,4492027887,1,-2440,-1603,1594.1,16613,-40,-39,15941
321,4500738441,0,-1614,-2256,1567.5,16844,-5,14,15675
322,4472130589,1,-1075,73,1568.2,17438,32,21,15682
323,4509440283,1,-1799,-1304,1584.3,17154,-6,-6,15843
324,4522207567,1,3296,3231,1824.8,19855,3,0,18248
325,4492532758,1,-1942,57,1533.3,18073,-17,-35,15333
326,4521901284,1,2013,247,1749.6,18253,-10,17,17496
327,4524952365,1,3574,1210,1980.9,18530,66,55,19809
328,4506175906,1,6000,5033,1932.9,19021,84,104,19329
329,4462044332,0,-3128,-2320,1560.0,14986,-51,-39,15600
330,4490186049,1,1229,1059,1629.2,18889,58,54,16292
331,4484406104,0,1285,1300,1767.7,18225,103,96,17677
332,4525016329,0,-3274,-1385,1514.1,17635,-52,-62,15141
333,4500061522,0,-1770,325,1489.7,17306,20,21,14897
334,4519405060,1,1892,890,1752.0,18610,-34,-39,17520
335,4489107680,0,525,902,1716.4,18932,7,7,17164
336,4524853879,0,-415,-498,1599.9,17033,6,8,15999
337,4519652445,1,-1751,-1585,1454.2,17517,-5,5,14542
338,4479492497,1,4453,2458,2022.5,17976,15,5,20225
339,4477014254,0,1393,441,1820.3,18175,-19,-25,18203
340,4474899637,1,534,154,1678.7,18618,37,56,16787
341,4448166002,0,-3301,-2246,1495.9,16588,22,23,14959
342,4518035441,1,-2022,-2023,1513.2,16489,-28,-52,15132
343,4524924561,0,176,-172,1635.4,17848,39,50,16354
344,4519402514,0,-458,-559,1465.2,17192,-5,-5,14652
345,4439902649,0,676,-576,1533.1,17540,-29,-34,15331
346,4471437748,1,2536,3339,1700.2,18755,44,8,17002
347,4452202569,1,-1751,-2784,1630.8,16771,-27,-11,16308
348,4519983082,1,-1516,-1467,1628.2,16826,-9,-3,16282
349,4514792667,0,-2566,-2246,1411.0,15832,-65,-66,14110
350,4524404606,0,-2023,-2678,1542.6,17467,-40,-25,15426
351,4517159658,0,-276,179,1598.3,17562,38,33,15983
352,4490111763,1,1574,1834,1680.1,18563,32,11,16801
353,4511615760,1,2378,2190,1714.1,19142,22,26,17141
354,4460035354,0,-3223,-2518,1512.2,17694,-64,-40,15122
355,4524340253,0,808,1415,1687.8,19372,29,24,16878
356,4494288234,1,3803,2825,1827.4,18615,31,37,18274
357,4503193235,0,-3360,-1842,1417.6,17054,-44,-34,14176
358,4487544482,1,2397,1405,1754.9,19231,13,-5,17549
359,4522841712,0,-883,-1828,1604.9,16758,38,30,16049
360,4492447049,0,-2638,-2478,1401.7,15893,-30,-2,14017
361,4515497599,1,5035,5420,2013.9,21898,11,-5,20139
362,4515307399,0,-1003,-899,1665.9,17777,14,17,16659
363,4520027205,0,-1963,-1151,1597.5,18165,4,2,15975
364,4525124678,0,-1071,-1471,1672.8,18284,-18,-27,16728
365,4506399392,1,897,1090,1669.3,18761,11,-10,16693
366,4520037654,1,1946,1292,1592.5,17913,29,15,15925
367,4513253618,0,-219,-1440,1676.3,17433,6,10,16763
368,4523092782,1,1588,1331,1685.2,18660,16,26,16852
369,4510100587,0,-1889,-723,1495.0,18134,-4,5,14950
370,4522265559,1,-720,432,1486.3,17436,10,-28,14863
371,4502459201,0,-2388,-1978,1585.3,18223,23,15,15853
372,4449297701,0,-5668,-4786,1342.8,14121,-51,-51,13428
373,4524992548,1,527,1493,1757.0,18283,74,62,17570
374,4524182340,1,1496,-730,1656.1,17961,39,41,16561
375,4522266897,0,-4245,-3073,1507.0,15375,-63,-51,15070
376,4468741090,0,3386,2410,1919.0,18615,-36,-22,19190
377,4519229802,0,-3145,-2166,1426.9,16844,-42,-35,14269
378,4464483348,0,-1325,-15,1491.6,17511,16,-12,14916
379,4501451685,1,-1623,-1144,1625.6,17637,0,-12,16256
380,4523922035,1,1076,759,1523.1,17617,15,-2,15231
381,4481186047,1,-1156,-667,1607.0,16577,-42,-38,16070
382,4486987445,0,450,-9,1541.6,17935,18,8,15416
383,4509259241,1,4363,4467,1903.6,18857,103,82,19036
384,4513456428,1,2262,2885,1821.4,19670,12,-8,18214
385,4507030336,0,-367,187,1743.0,18068,10,7,17430
386,4520529866,1,1214,2080,1659.0,19041,-25,4,16590
387,4525050175,1,1728,-337,1550.8,17062,-3,-6,15508
388,4519754998,1,959,917,1678.9,19024,23,5,16789
389,4439457123,1,924,323,1629.8,18210,31,21,16298
390,4524643428,1,4544,3126,1932.0,20189,32,45,19320
391,4521007618,0,-4847,-2983,1492.6,16530,-8,-8,14926
392,4508648866,1,1849,669,1749.6,18327,-14,-4,17496
393,4481875944,1,-3891,-2689,1517.7,15795,-73,-66,15177
394,4481977173,0,-1314,-1942,1702.5,18038,-20,-1,17025
395,4524221277,1,2718,91,1820.3,18324,7,7,18203
396,4491767708,0,-2174,-1268,1516.0,17505,-26,-10,15160
397,4513381950,1,1093,720,1530.4,18188,7,13,15304
398,4520706889,1,-215,-438,1750.3,17699,-8,-18,17503
399,4510979839,1,635,-1157,1646.8,15869,-23,-2,16468
400,4497747862,1,120,1209,1903.5,18221,16,11,19035
401,4499933829,1,194,661,1841.3,18554,15,-11,18413
402,4444218395,1,3581,1578,1847.0,18925,26,25,18470
403,4524806566,0,-3622,-2561,1629.1,16699,-33,-32,16291
404,4462632051,1,-303,312,1630.1,17430,-8,0,16301
405,4522260081,0,-1295,-305,1718.3,18225,-45,-51,17183
406,4455390955,0,-3006,-1880,1336.1,16819,-49,-45,13361
407,4517939505,1,1090,371,1480.7,17246,21,17,14807
408,4524528416,1,324,1794,1519.5,18358,26,-11,15195
409,4525067296,1,-2025,-2448,1478.8,17345,-37,-18,14788
410,4454069388,0,-416,-907,1660.4,17328,-8,2,16604
411,4503433498,0,62,1154,1566.1,18861,15,30,15661
412,4510734919,0,-67,-1341,1625.9,17235,39,21,16259
413,4464447310,1,5163,3968,1971.6,19989,55,52,19716
414,4429977573,1,2728,1957,1861.2,19203,1,2,18612
415,4522461341,0,-3559,-1400,1471.1,18284,-41,-52,14711
416,4517741452,1,184,-131,1688.6,18261,-20,-16,16886
417,4500724758,0,-2040,-1012,1498.0,16983,-30,-18,14980
418,4494319705,1,2151,726,1654.4,17551,-7,-14,16544
419,4444096628,0,-2452,-1634,1617.4,16725,-57,-61,16174
420,4521510642,1,3255,2259,1804.7,19362,47,31,18047
421,4412240530,1,1128,858,1748.4,20325,-28,4,17484
422,4420941972,1,1909,979,1782.6,19427,26,5,17826
423,4514097912,1,3397,1493,1867.3,18121,31,37,18673
424,4491135325,0,-3563,-1320,1754.0,17368,-38,-16,17540
425,4488824515,0,-361,1686,1680.8,17370,22,17,16808
426,4515453856,1,-513,992,1522.7,18442,-18,-23,15227
427,4420829528,1,4872,3076,1939.2,18570,50,36,19392
428,4503381304,0,985,2102,1719.4,18397,32,19,17194
429,4515654011,1,-1599,-1870,1567.2,17821,1,2,15672
430,4492894390,1,1719,1703,1856.5,19562,-23,-26,18565
431,4472568378,0,-2641,-2207,1392.1,16963,-25,-35,13921
432,4471422338,0,-2846,-2325,1452.1,16234,-38,-28,14521
433,4525151632,0,-3891,-2276,1504.9,17888,-36,-12,15049
434,4519414547,1,6202,5368,2012.7,19575,81,59,20127
435,4440874432,1,2330,2167,1719.4,19539,50,34,17194
436,4471153063,0,3089,1750,1912.2,19334,73,69,19122
437,4522449120,1,540,867,1635.9,17998,0,11,16359
438,4501354453,1,508,-1704,1702.7,17816,-37,-18,17027
439,4465050280,0,625,-1035,1766.5,18125,-47,-15,17665
440,4509589971,1,2481,1962,1720.9,18853,34,24,17209
441,4505606908,1,2796,2669,1918.7,19762,7,6,19187
